reference,generated_summary
"Fiona fell in love with his student, Conrad.","Fiona is in love with Conrad, her student. He is 5 years younger than her. Fiona wants to be around him all the time. Wanda thinks Fiona should do something about it."
The situation in Kongo is terrible because of its resources and politics.,"The situation in Kongo is terrible now. The world's attention is now on Kongo. The resources there are crucial for the US, for China, for everybody."
"Margaret and Evans plan to meet at 10 on 4th and at 11 on 11th. They both are not sure when they will be able to meet next, so they will come up with a date later.","Evans and Margaret will meet on 4th and 11th of December at 10:00 and 11:00. Evans might not be in town on 18th, so they will see if they can meet on 17th or 14th."
Bradley is too busy at work to talk to Joanne now.,Bradley is busy at work. Joanne will
Pete has got an interview. His wife Iris is happy because her parents are glad she found a decent man. She is joking he is famous.,Pete will be home in 1 hour. Iris' parents are happy that she found a decent man. Pete is flattered
Iris is trying to remove herself from an expense. Ken has fixed the problem. Julia will be added to the expense again later. Gerardo will ask the people leaving early to stay in the splitwise group until the end of the month. George will stay.,"Iris is trying to remove herself from an expense, but she has left the group. Ken, Luke, Julia and Gerardo are going to add her back in. They will ask the peeps leaving early to stay in the splitwise group."
Ola should be free by 8. Kurt wants her to call him.,Ola should be free by 8
Conny cannot find enough information online for his paper. Fitz suggests he tries the library. ,Conny has to write a paper for next week. He did some research on the internet. Fitz suggests him to go to the library.
"By looking at the photos, Archie thinks that Melanie looked nicer with curly hair. Louis disagrees.",Archie and Louis think Melanie looks like Melanie when she had cury hair. Louis thinks she looks gorgeous with straight hair. 
"Carly and Cindy think she is stupid, because she asked him. ",Cindy talked to Carly about the girl who asked him to date her
Kirsten reminds Alex that the youth group meets this Friday at 7 pm and go bowling.,Kirsten and Alex are going bowling this Friday at
"A boy that Sam likes is not talking to her, but Cathy convinces her that he likes her. Sam will talk to the boy tomorrow.","Sam doesn't think he likes Cathy, but Cathy thinks he likes her. Sam will talk to him tomorrow. Cathy and Kate noticed"
Jess dreamt she was a lion tamer. Lynn believes that dreams mean something. Charlie has read that strangers from our dreams are actually people who we've seen before.,"Jess had a dream last night that she was a lion tamer. Charlie and Lynn don't believe in dreams, but Lynn thinks dreams reflect our subconsciousness."
Coeliac disease makes it impossible to digest gluten. Charles feels bloated and gained weight recently. Monica stopped eating lactose. Charles had a blood test.,Charles and Jack are worried about gluten intolerance. They are going to have a blood test to see if they have it. Monica and Charles were fine until they stopped eating gluten.
"Ulysses and Peter got an A, Julia got a B. The grades are to be checked on the course page.","Ulysses got an A, Peter got an"
Ralph told Andrew a joke.,"Andrew and Ralph don't know how to sink a polish battleship, so Ralph suggests they put it in water. "
Linda missed her train and the next one is in one hour. A return to Amsterdam was 80 euros.,Linda missed the train. The next one is in one hour
Martha likes Ophelia's lenses and wants to buy similar ones. Ophelia got them from Crazy Lenses.,Martha wants to buy the lenses from Ophelia's profile picture. They are from Crazy Lenses. They have reasonable prices and fast shipping
Linda wants to buy flowers for her mother and asks Michael which flowers does she like. Michael suggests Linda to buy freesias.,"Linda wants to buy flowers for her mother, but she doesn't know which one she likes. She's on a flower market right now. Michael sends her pictures of tulips,"
Tim is running late and will arrive around twenty past. He asked Gary to do some small talk and try to delay the main presentation.,Tim will be here in about 20 minutes. Gary will
Marcus will pick Mark from the airport at 4pm. Anna will call Mark and give him Marcus' number.,"Anna, Leslie and Marcus will pick up Mark from the airport on Thursday at 4 pm. Marcus has a meeting at 1 pm. Anna will call Mark and give him Leslie's number."
Lewandowska has measles. There are vaccinations in the main building from 17th until 19th for everyone who had contact with her. ,Lewandowska is hospitalized with measles. Anyone who had contact with her within the last couple of days must get vaccinated. Merve didn't see her since the last semester. Joanna is her thesis mentor. They are organizing vaccinations in the main building from 17th until 19th.
Louisa will lend Thelma her red velvet dress.,Thelma doesn't have anything to wear. Louisa will bring her a red velvet
Megan and Joseph will take Joseph's car to the opera.,Joseph will take his car to the
Carl is waiting for Meg who's running late as she can't find her key. ,Carl is still waiting for Meg
"Ben is having a downtime, isn't very talkative. Kim wants to see Ben tonight but he has to rain check.",Kim and Ben are going to meet tonight for pizza with coke. Ben will give Kim a rain check as he is having a downtime.
Stan Lee is dead.,"Stan Lee is dead, but he's alive and well"
Maria is tired of her job. ,Maria is tired of her job. Anastasia
"Ryanair has canceled many flights. This affected Erin, Luke and Ava.","Erin, Luke, Nathan, Ava, Elijah and Ava's flights were cancelled by Ryanair. Luke booked another flight with easyjet. "
Rachel's aunt had an accident and she's in hospital now. She's only bruised. The perpetrator of the accident is going to pay for the rehabilitation. ,Rachel's aunt was in an accident. She's bruised but she's fine. Some jackass was speeding and didn't see the red light. He will pay for the rehabilitation.
"Monica had sex with Ross at an office party two months ago. She's pregnant, but didn't tell Ross about it, who's married.",Ross is happily married. Monica got drunk at the office party two months ago and became really friendly with Ross. She's pregnant.
Luke will go surfing at 2:22 pm tomorrow.,Luke got his ass kicked surfing today. Low tide is 2:22 PM tomorrow. Eric and Summer recommend surfing at mid-tide.
Benjamin didn't come to see a basketball game on Friday's night. The team supported by Alex won 101-98. Benjamin's mom has a flu and he's looking after her. Benjamin declares to attend the next basketball match.,Benjamin was unable to attend Friday night's basketball game because his mom is sick. Alex's team won the game 101-98. Benjamin will go to the next one next weekend.
The audition starts at 7.30 P.M. in Antena 3.,Jamilla reminds Kiki
"Marta sent a file accidentally,",Marta accidentally sent Weronika and Agnies
There was a meet-and-greet with James Charles in Birmingham which gathered 8000  people.,There was a meet and greet with James Charles in one of the malls in Birmingham and about 8000 fans showed up for it. British media made some negative comments about it.
"Rachel sends a list of Top 50 films of 2018. Janice watched almost half of them, Deadpool 2 and Avengers included.",Janice has watched almost all the Top 50 Best Films of 2018. Janice's boyfriend forced her to watch Deadpool 2 and Avengers 2.
